"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL1183059";"";"";"Small molecule";"";"458.51";"";"";"-2.24";"181.29";"11";"6";"2";"11";"N";"0.20";"9.70";"10.12";"-2.26";"-5.35";"1";"MOL";"-1";"32";"12";"7";"2";"458.2377";"1.31";"BASE";"C20H34N4O8";"CCCCCNC[C@H](O[C@@H]1O[C@H](CN)[C@@H](O)[C@H]1O)[C@@H]1C[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O1";"UXNOWLDFIQZJQY-YBKIVMFTSA-N";"InChI=1S/C20H34N4O8/c1-2-3-4-6-22-10-14(32-19-17(28)16(27)13(9-21)31-19)12-8-11(25)18(30-12)24-7-5-15(26)23-20(24)29/h5,7,11-14,16-19,22,25,27-28H,2-4,6,8-10,21H2,1H3,(H,23,26,29)/t11-,12+,13-,14+,16-,17-,18-,19+/m1/s1";"False";"-1";"";""
"CHEMBL3828811";"";"";"Small molecule";"";"457.63";"";"";"5.80";"112.47";"4";"6";"2";"6";"N";"0.21";"11.41";"12.05";"4.78";"0.62";"3";"MOL";"-1";"34";"7";"6";"2";"457.2954";"-0.70";"BASE";"C27H35N7";"N=C(NC1CCCCC1)c1ccc(Nc2nc3cc(C(=N)NC4CCCCC4)ccc3[nH]2)cc1";"NYQJFBWXPGCWOC-UHFFFAOYSA-N";"InChI=1S/C27H35N7/c28-25(30-20-7-3-1-4-8-20)18-11-14-22(15-12-18)32-27-33-23-16-13-19(17-24(23)34-27)26(29)31-21-9-5-2-6-10-21/h11-17,20-21H,1-10H2,(H2,28,30)(H2,29,31)(H2,32,33,34)";"False";"-1";"";""
"CHEMBL608302";"";"";"Small molecule";"";"460.34";"1";"1";"-2.05";"246.23";"13";"6";"2";"8";"N";"0.23";"1.48";"7.41";"-5.74";"-8.11";"2";"MOL";"-1";"31";"15";"8";"2";"460.1108";"1.01";"ACID";"C15H21N6O9P";"Nc1ncnc2c1ncn2C1O[C@H](CP(=O)(O)OC(=O)C(N)CCC(=O)O)[C@@H](O)[C@H]1O";"FBOWTUIAYIBXON-OQWAHBNPSA-N";"InChI=1S/C15H21N6O9P/c16-6(1-2-8(22)23)15(26)30-31(27,28)3-7-10(24)11(25)14(29-7)21-5-20-9-12(17)18-4-19-13(9)21/h4-7,10-11,14,24-25H,1-3,16H2,(H,22,23)(H,27,28)(H2,17,18,19)/t6?,7-,10-,11-,14?/m1/s1";"False";"-1";"['glutamol adenylate']";"['4-Amino-5-{[(R)-5-(6-amino-purin-9-yl)-3,4-dihydroxy-tetrahydro-furan-2-ylmethyl]-hydroxy-phosphinoyloxy}-5-oxo-pentanoic acid']"
"CHEMBL27042";"";"";"Small molecule";"";"444.35";"3";"7";"1.73";"127.64";"12";"6";"2";"8";"N";"0.25";"None";"5.76";"-5.20";"-5.21";"0";"MOL";"-1";"26";"12";"6";"2";"444.1823";"-0.03";"NEUTRAL";"C10H32N12P4";"CNP1(NC)=N[P@](NC)(N2CC2)=NP(NC)(NC)=N[P@@](NC)(N2CC2)=N1";"QGYHHJFMAISYHD-DIVCQZSQSA-N";"InChI=1S/C10H32N12P4/c1-11-23(12-2)17-25(15-5,21-7-8-21)19-24(13-3,14-4)20-26(16-6,18-23)22-9-10-22/h11-16H,7-10H2,1-6H3/t25-,26-";"False";"-1";"['27']";"['Cyclophosphazene derivative']"
"CHEMBL3904888";"";"";"Small molecule";"";"465.49";"1";"1";"-1.62";"197.74";"11";"6";"2";"8";"N";"0.22";"10.12";"4.64";"-1.94";"-1.94";"3";"MOL";"-1";"32";"13";"7";"2";"465.1431";"0.04";"NEUTRAL";"C18H23N7O6S";"NS(=O)(=O)NC[C@H]1O[C@@H](n2cnc3c(N[C@H](CO)c4ccccc4)ncnc32)[C@H](O)[C@@H]1O";"KZWGJGWENIQORA-AJKMGBEJSA-N";"InChI=1S/C18H23N7O6S/c19-32(29,30)23-6-12-14(27)15(28)18(31-12)25-9-22-13-16(20-8-21-17(13)25)24-11(7-26)10-4-2-1-3-5-10/h1-5,8-9,11-12,14-15,18,23,26-28H,6-7H2,(H2,19,29,30)(H,20,21,24)/t11-,12-,14-,15-,18-/m1/s1";"False";"-1";"['I-20; Ex 38']";"['N-{[(2R,3S,4R,5R)-3,4-Dihydroxy-5-(6-{[(1S)-2-hydroxy-1-phenylethyl]amino}-9H-purin-9-yl)tetrahydrofuran-2-yl]methyl}sulfamide']"
"CHEMBL301721";"GENTAMICIN C1A";"Gentamicin C1A|Gentamicinc1A";"Small molecule";"";"449.55";"12";"38";"-3.98";"213.72";"12";"8";"2";"6";"N";"0.19";"12.55";"9.90";"-3.99";"-11.77";"0";"MOL";"-1";"31";"12";"12";"2";"449.2849";"1.53";"BASE";"C19H39N5O7";"CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)CCC3N)C2O)OCC1(C)O";"VEGXETMJINRLTH-UHFFFAOYSA-N";"InChI=1S/C19H39N5O7/c1-19(27)7-28-18(13(26)16(19)24-2)31-15-11(23)5-10(22)14(12(15)25)30-17-9(21)4-3-8(6-20)29-17/h8-18,24-27H,3-7,20-23H2,1-2H3";"False";"-1";"['Gentamycin C1a', '3', '6', 'Gentamycin C1a', '11', 'Gentamicin C1A', 'Gentamicin C1a', 'Gentamicin C1a', 'Gentamicin C1a', 'Gentamicin C1a']";"['2-[4,6-Diamino-3-(3-amino-6-aminomethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-5-methyl-4-methylamino-tetrahydro-pyran-3,5-diol', '2-[4,6-Diamino-3-(3-amino-6-aminomethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-5-methyl-4-methylamino-tetrahydro-pyran-3,5-diol (Gentamicin C1a)', 'GentamicinC1a', '2-[4,6-Diamino-3-(3-amino-6-aminomethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-5-methyl-4-methylamino-tetrahydro-pyran-3,5-diol', '2-[4,6-Diamino-3-(3-amino-6-aminomethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-5-methyl-4-methylamino-tetrahydro-pyran-3,5-diol', 'Gentamicin C1A', 'Gentamicin C1a', '(2R,3R,4R,5R)-2-[(1S,2S,3R,4S,6R)-4,6-Diamino-3-((2R,3R,6S)-3-amino-6-aminomethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-5-methyl-4-methylamino-tetrahydro-pyran-3,5-diol', 'Gentamicin C1a', 'Gentamicin C1a']"
"CHEMBL145413";"";"";"Small molecule";"";"456.50";"3";"21";"-3.15";"215.77";"11";"8";"2";"6";"N";"0.21";"12.64";"9.05";"-3.13";"-6.97";"1";"MOL";"-1";"32";"12";"11";"2";"456.2220";"0.89";"BASE";"C20H32N4O8";"NCC1OC(OC2C(NC(=O)OCc3ccccc3)CC(N)C(O)C2O)C(N)C(O)C1O";"XJXCTJBDUJBJIP-UHFFFAOYSA-N";"InChI=1S/C20H32N4O8/c21-7-12-15(26)16(27)13(23)19(31-12)32-18-11(6-10(22)14(25)17(18)28)24-20(29)30-8-9-4-2-1-3-5-9/h1-5,10-19,25-28H,6-8,21-23H2,(H,24,29)";"False";"-1";"['9']";"['[5-Amino-2-(3-amino-6-aminomethyl-4,5-dihydroxy-tetrahydro-pyran-2-yloxy)-3,4-dihydroxy-cyclohexyl]-carbamic acid benzyl ester']"
"CHEMBL523290";"";"8-Acetylharpagide|8-O-Acetylharpagide";"Small molecule";"";"406.38";"9";"41";"-2.89";"175.37";"11";"6";"2";"4";"N";"0.26";"12.12";"None";"-3.79";"-3.79";"0";"MOL";"-1";"28";"11";"6";"2";"406.1475";"3.14";"NEUTRAL";"C17H26O11";"CC(=O)O[C@@]1(C)C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21";"CAFTUQNGDROXEZ-XBDCZORHSA-N";"InChI=1S/C17H26O11/c1-7(19)28-16(2)5-9(20)17(24)3-4-25-15(13(16)17)27-14-12(23)11(22)10(21)8(6-18)26-14/h3-4,8-15,18,20-24H,5-6H2,1-2H3/t8-,9-,10-,11+,12-,13-,14+,15+,16+,17-/m1/s1";"False";"-1";"['2', '6', '13', '2', 'SID85148715']";"['8-O-acetylharpagide', '8-acetylharpagide', '8-acetylharpagide', '8-O-acetylharpagide', 'SID85148715']"
"CHEMBL604809";"";"";"Small molecule";"";"326.32";"2";"5";"-3.56";"203.61";"12";"7";"2";"4";"N";"0.17";"12.42";"5.92";"-3.53";"-3.54";"2";"MOL";"-1";"23";"12";"10";"2";"326.1451";"0.63";"NEUTRAL";"C11H18N8O4";"NNC(N)c1nn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12";"FCJJJKPBNJIVII-KCXPABHWSA-N";"InChI=1S/C11H18N8O4/c12-8-4-5(9(13)17-14)18-19(10(4)16-2-15-8)11-7(22)6(21)3(1-20)23-11/h2-3,6-7,9,11,17,20-22H,1,13-14H2,(H2,12,15,16)/t3-,6-,7-,9?,11?/m1/s1";"False";"-1";"['28']";"['2-[4-Amino-3-(amino-hydrazino-methyl)-pyrazolo[3,4-d]pyrimidin-1-yl]-5-hydroxymethyl-tetrahydro-furan-3,4-diol']"
"CHEMBL1208559";"";"";"Small molecule";"";"418.35";"";"";"-0.65";"198.10";"11";"6";"2";"8";"N";"0.23";"1.22";"4.45";"-2.97";"-4.26";"2";"MOL";"-1";"28";"13";"7";"2";"418.1366";"0.55";"ACID";"C14H23N6O7P";"CCCCNc1nc2c(N)ncnc2n1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O";"ZDIVCONKYQXPIB-RJNFYWFKSA-N";"InChI=1S/C14H23N6O7P/c1-2-3-4-16-14-19-8-11(15)17-6-18-12(8)20(14)13-10(22)9(21)7(27-13)5-26-28(23,24)25/h6-7,9-10,13,21-22H,2-5H2,1H3,(H,16,19)(H2,15,17,18)(H2,23,24,25)/t7-,9-,10-,13?/m1/s1";"False";"-1";"";""
"CHEMBL287780";"";"";"Small molecule";"";"435.52";"13";"20";"-4.24";"227.71";"12";"8";"2";"6";"N";"0.20";"12.96";"9.93";"-4.43";"-12.32";"0";"MOL";"-1";"30";"12";"13";"2";"435.2693";"1.59";"BASE";"C18H37N5O7";"NCC1CCC(N)C(OC2C(N)CC(N)C(OC3CC(N)C(O)C(CO)O3)C2O)O1";"HTUGCSJZMDOLQP-UHFFFAOYSA-N";"InChI=1S/C18H37N5O7/c19-5-7-1-2-8(20)18(27-7)30-17-11(23)3-10(22)16(15(17)26)29-13-4-9(21)14(25)12(6-24)28-13/h7-18,24-26H,1-6,19-23H2";"False";"-1";"['14']";"['4-Amino-6-[4,6-diamino-3-(3-amino-6-aminomethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-2-hydroxymethyl-tetrahydro-pyran-3-ol']"
"CHEMBL37399";"";"";"Small molecule";"";"467.52";"11";"13";"-6.30";"268.17";"14";"10";"2";"6";"N";"0.17";"12.65";"9.65";"-6.27";"-12.71";"0";"MOL";"-1";"32";"14";"15";"2";"467.2591";"1.57";"BASE";"C18H37N5O9";"NCC1OC(OC2C(N)CC(N)C(OC3CC(N)C(O)C(CO)O3)C2O)C(N)C(O)C1O";"HKKALIHVOBTUJH-UHFFFAOYSA-N";"InChI=1S/C18H37N5O9/c19-3-8-13(26)14(27)11(23)18(30-8)32-17-7(22)1-6(21)16(15(17)28)31-10-2-5(20)12(25)9(4-24)29-10/h5-18,24-28H,1-4,19-23H2";"False";"-1";"['12']";"['5-Amino-2-aminomethyl-6-[4,6-diamino-3-(4-amino-5-hydroxy-6-hydroxymethyl-tetrahydro-pyran-2-yloxy)-2-hydroxy-cyclohexyloxy]-tetrahydro-pyran-3,4-diol']"
"CHEMBL608028";"";"";"Small molecule";"";"356.34";"1";"1";"-3.21";"192.03";"12";"7";"2";"6";"N";"0.28";"12.44";"6.60";"-3.26";"-3.27";"2";"MOL";"-1";"25";"12";"8";"2";"356.1444";"0.75";"NEUTRAL";"C13H20N6O6";"Nc1nc(NCC(O)CO)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1";"SWTFQOWAGHKCDV-DHXOXCDCSA-N";"InChI=1S/C13H20N6O6/c14-13-17-10(15-1-5(22)2-20)7-11(18-13)19(4-16-7)12-9(24)8(23)6(3-21)25-12/h4-6,8-9,12,20-24H,1-3H2,(H3,14,15,17,18)/t5?,6-,8-,9-,12?/m1/s1";"False";"-1";"['13b']";"['2-[2-Amino-6-(2,3-dihydroxy-propylamino)-purin-9-yl]-5-hydroxymethyl-tetrahydro-furan-3,4-diol']"
"CHEMBL570125";"";"";"Small molecule";"";"405.38";"5";"6";"-6.10";"229.46";"12";"8";"2";"5";"N";"0.21";"8.51";"None";"-5.49";"-5.52";"0";"MOL";"-1";"26";"13";"9";"2";"405.0941";"1.59";"NEUTRAL";"C12H23NO12S";"NS(=O)(=O)[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O";"DDOHHRUODNXYAC-XLOQQCSPSA-N";"InChI=1S/C12H23NO12S/c13-26(21,22)12-9(20)7(18)10(4(2-15)24-12)25-11-8(19)6(17)5(16)3(1-14)23-11/h3-12,14-20H,1-2H2,(H2,13,21,22)/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+/m1/s1";"False";"-1";"['9']";"['(2S,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-((2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)tetrahydro-2H-pyran-2-sulfonamide']"
"CHEMBL233929";"GALUTEOLIN";"Galuteolin|Glucoluteolin|Luteolin 7-Glucoside|Luteolin 7-O-Glucoside|Luteolin-7-Glucoside";"Small molecule";"";"448.38";"76";"171";"-0.24";"190.28";"11";"7";"2";"4";"N";"0.26";"7.30";"None";"0.14";"-0.23";"3";"MOL";"-1";"32";"11";"7";"2";"448.1006";"1.97";"NEUTRAL";"C21H20O11";"O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12";"PEFNSGRTCBGNAN-QNDFHXLGSA-N";"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2/t16-,18-,19+,20-,21-/m1/s1";"False";"-1";"['Luteolin-7-glucoside', '4', '8', 'luteolin-7-O-beta-glucopyranoside', '10', '3', '5', '1', '6', 'Luteolin-7-R1', '4, Galuteolin', '5', '167', 'Luteolin 7-glucoside', 'SID85149087', 'luteolin-7-O-beta-D-glucopyranoside', '8', 'Page-52, R14C1', '7', '20', '102', '6', '6', '6', 'luteolin-7-glucoside', 'luteolin-7-glucoside', '26', '13', '45', '9', 'Luteolin-7-glucoside', '11', '9', 'Luteoloside', 'SID26756970', 'Luteoloside', '8', '5', 'Luteoloside', '9', '20', '7', '13', 'EOS100114']";"['Luteolin-7-glucoside', 'luteolin-7-O-beta-glucoside', 'luteolin-7-O-glucoside', 'luteolin-7-O-beta-glucopyranoside', 'glucoluteolin', 'luteolin 7-O-glucoside', 'galuteolin', '7-O-beta-D-glycosyl luteolin', 'Luteolin-7-O-beta-D-glucopyranoside', '2-(3,4-dihydroxyphenyl)-5-hydroxy-7-((2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one', 'luteolin 7-O-beta-Dglucopyranoside', 'luteolin 7-O-beta-D-glucoside', '2-(3,4-dihydroxyphenyl)-5-hydroxy-7-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one', 'Luteolin 7-glucoside', 'SID85149087', 'luteolin-7-O-beta-D-glucopyranoside', 'luteolin-7-O-beta-glucoside', 'Luteolin-7-O-beta-D-glucopyranoside', 'luteolin-7-O-beta-D-glucopyranoside', 'luteolin-7-glucoside', 'Luteolin-7-O-glucoside', 'Luteolin-7-O-beta-D-glucoside', 'Luteoloside', 'luteoloside', 'luteolin-7-glucoside', 'luteolin-7-glucoside', 'Luteolin-7-glucoside', 'luteolin 7-O-beta-D-glucoside', 'Cynaroside', 'Luteolin-7-glucoside', 'Luteolin-7-glucoside', 'Luteolin-7-O-beta-D-glucoside', '2-(3,4-dihydroxyphenyl)-5-hydroxy-7-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one', 'Luteoloside', 'SID26756970', 'Luteoloside', 'Luteolin-7-O-beta-D-glucopyranoside', 'Galuteolin', 'Luteoloside', 'Luteoloside', 'Luteolin-7-Oglucoside', 'Luteolin-7-O-glucoside', 'luteolin 7-O-beta-glucuronide', 'Luteoloside']"
"CHEMBL1222354";"";"";"Small molecule";"";"464.38";"5";"12";"-0.54";"210.51";"12";"8";"2";"4";"N";"0.24";"6.38";"None";"-0.11";"-1.25";"3";"MOL";"-1";"33";"12";"8";"2";"464.0955";"2.19";"ACID";"C21H20O12";"O=c1c(O)c(-c2ccc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)oc2cc(O)cc(O)c12";"YLWQTYZKYGNKPI-HMGRVEAOSA-N";"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-3-7(1-2-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1";"False";"-1";"['9']";"['3,5,7-trihydroxy-2-(4-hydroxy-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)phenyl)-4H-chromen-4-one']"
"CHEMBL574682";"";"";"Small molecule";"";"478.41";"3";"5";"-0.24";"199.51";"12";"7";"2";"5";"N";"0.24";"7.09";"None";"0.00";"-0.49";"3";"MOL";"-1";"34";"12";"7";"2";"478.1111";"2.01";"NEUTRAL";"C22H22O12";"COc1c(-c2ccc(O)c(O)c2)oc2cc(OC3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)cc(O)c2c1=O";"LKXBGSZMRNJAST-CFBJVNCBSA-N";"InChI=1S/C22H22O12/c1-31-21-17(28)15-12(26)5-9(32-22-19(30)18(29)16(27)14(7-23)34-22)6-13(15)33-20(21)8-2-3-10(24)11(25)4-8/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3/t14-,16-,18+,19-,22?/m0/s1";"False";"-1";"['3a']";"['2-(3,4-dihydroxyphenyl)-5-hydroxy-3-methoxy-7-((3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one']"
"CHEMBL581624";"";"TCMDC-131657";"Small molecule";"";"396.50";"3";"6";"-0.39";"168.06";"12";"6";"2";"9";"N";"0.23";"None";"8.32";"0.21";"-1.17";"0";"MOL";"-1";"28";"12";"8";"2";"396.2710";"0.11";"NEUTRAL";"C16H32N10O2";"CC1(C)N=C(N)N=C(NOCCCCCCONC2=NC(N)=NC(C)(C)N2)N1";"UVVKNNNDPXISMR-UHFFFAOYSA-N";"InChI=1S/C16H32N10O2/c1-15(2)21-11(17)19-13(23-15)25-27-9-7-5-6-8-10-28-26-14-20-12(18)22-16(3,4)24-14/h5-10H2,1-4H3,(H4,17,19,21,23,25)(H4,18,20,22,24,26)";"False";"-1";"['TCMDC-131657']";"['TCMDC-131657']"
"CHEMBL1097225";"";"";"Small molecule";"";"419.48";"1";"5";"-1.18";"165.58";"11";"6";"2";"4";"N";"0.20";"9.78";"2.82";"0.02";"0.02";"1";"MOL";"-1";"27";"10";"7";"1";"419.0821";"0.33";"NEUTRAL";"C15H21N3O7S2";"CC(=O)c1sc2c(c1C)C(=O)N(N)C(S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)N2";"HUOGBAPZHNHBTD-WZIOZQBNSA-N";"InChI=1S/C15H21N3O7S2/c1-4-7-12(26-11(4)5(2)20)17-15(18(16)13(7)24)27-14-10(23)9(22)8(21)6(3-19)25-14/h6,8-10,14-15,17,19,21-23H,3,16H2,1-2H3/t6-,8+,9+,10-,14+,15?/m1/s1";"False";"-1";"['15d']";"['3-Amino-6-acetyl-5-methyl-2-(beta-D-galactopyranosyl-thio)-thieno[2,3-d]pyrimidin-4-one']"
"CHEMBL605966";"";"";"Small molecule";"";"421.50";"2";"2";"-4.63";"227.71";"12";"8";"2";"5";"N";"0.21";"12.57";"9.88";"-4.70";"-12.38";"0";"MOL";"-1";"29";"12";"13";"2";"421.2536";"1.41";"BASE";"C17H35N5O7";"NC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3OC[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)O1";"REMNCORQHDWPMC-LWIKIFOSSA-N";"InChI=1S/C17H35N5O7/c18-4-6-1-2-7(19)16(27-6)28-14-8(20)3-9(21)15(13(14)25)29-17-12(24)11(22)10(23)5-26-17/h6-17,23-25H,1-5,18-22H2/t6-,7+,8-,9+,10+,11-,12+,13-,14+,15-,16+,17-/m0/s1";"False";"-1";"['RT040']";"["6-O-(3-Amino-3-deoxy-alpha-D-xylopyranosyl)-3',4'-dideoxyneamine"]"
"CHEMBL2005416";"";"";"Small molecule";"";"338.42";"53";"53";"-1.01";"189.56";"12";"6";"2";"11";"N";"0.17";"None";"4.00";"-1.03";"-1.03";"2";"MOL";"-1";"24";"12";"10";"2";"338.2403";"-0.85";"NEUTRAL";"C12H26N12";"NNc1nnc(CCCCCCCCc2nnc(NN)n2N)n1N";"OMQKBBRUTWVHCJ-UHFFFAOYSA-N";"InChI=1S/C12H26N12/c13-17-11-21-19-9(23(11)15)7-5-3-1-2-4-6-8-10-20-22-12(18-14)24(10)16/h1-8,13-16H2,(H,17,21)(H,18,22)";"False";"-1";"['SID525352']";"['SID525352']"
"CHEMBL397410";"";"";"Small molecule";"";"481.40";"2";"3";"-3.76";"204.01";"12";"6";"2";"10";"N";"0.14";"0.90";"7.66";"-5.44";"-5.59";"1";"MOL";"-1";"32";"14";"6";"2";"481.1461";"0.39";"ACID";"C17H28N3O11P";"O=c1ccn(C[C@@H]2O[C@H](COP(=O)(O)COCCN3C[C@@H](O)[C@H](O)C3)[C@@H](O)[C@H]2O)c(=O)[nH]1";"SSOIKLMHJLXZFS-FFNJBFJXSA-N";"InChI=1S/C17H28N3O11P/c21-10-5-19(6-11(10)22)3-4-29-9-32(27,28)30-8-13-16(25)15(24)12(31-13)7-20-2-1-14(23)18-17(20)26/h1-2,10-13,15-16,21-22,24-25H,3-9H2,(H,27,28)(H,18,23,26)/t10-,11-,12+,13-,15+,16-/m1/s1";"False";"-1";"['18']";"['((2R,3S,4R,5S)-5-((2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)methyl)-3,4-dihydroxy-tetrahydrofuran-2-yl)methyl hydrogen (2-((3R,4R)-3,4-dihydroxypyrrolidin-1-yl)ethoxy)methylphosphonate']"
"CHEMBL559294";"";"";"Small molecule";"";"472.40";"60";"61";"2.54";"186.37";"11";"7";"2";"4";"N";"0.22";"8.57";"None";"3.22";"3.19";"3";"MOL";"-1";"34";"11";"7";"2";"472.1006";"1.82";"NEUTRAL";"C23H20O11";"COc1c(O)cc(C(=O)O[C@@H]2Cc3c(O)cc(O)cc3O[C@@H]2c2cc(O)c(O)c(O)c2)cc1O";"BMJHAAZDURGGSC-TZIWHRDSSA-N";"InChI=1S/C23H20O11/c1-32-22-16(28)4-10(5-17(22)29)23(31)34-19-8-12-13(25)6-11(24)7-18(12)33-21(19)9-2-14(26)20(30)15(27)3-9/h2-7,19,21,24-30H,8H2,1H3/t19-,21-/m1/s1";"False";"-1";"['4-O-methyl-EGCG', '10', '3, (-)-4\\"-Me-EGCG', "EGCg4''OMe", 'SID532352']";"['4-O-methyl-EGCG', '(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,5-dihydroxy-4-methoxybenzoate', '(2R,3R)-5,7-Dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,5-dihydroxy-4-methoxybenzoate', "(-)-Epigallocatechin-3-(4''-O-methyl)gallate", 'SID532352']"
"CHEMBL2436927";"";"";"Small molecule";"";"452.37";"1";"2";"-0.75";"199.51";"12";"7";"2";"4";"N";"0.24";"7.61";"None";"-0.03";"-0.26";"3";"MOL";"-1";"32";"12";"7";"2";"452.0955";"2.02";"NEUTRAL";"C20H20O12";"COc1cc2c(=O)c3c(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)cc3oc2cc1O";"ZHEOTFNZFFJRMY-DPZUNCSASA-N";"InChI=1S/C20H20O12/c1-29-10-2-6-9(3-7(10)22)30-11-4-8(23)19(16(26)13(11)14(6)24)32-20-18(28)17(27)15(25)12(5-21)31-20/h2-4,12,15,17-18,20-23,25-28H,5H2,1H3/t12-,15-,17+,18-,20+/m1/s1";"False";"-1";"['15']";"['7-O-methylmangiferin']"
